IDfg,Season,Name,Team,Age,IBB,SO,SB,BU,BABIP,IFH%,WAR,Spd,PH,CB%,O-Contact%,wGDP,Oppo%,OBP+,SLG+,Pull%+,Soft%+,Hard%+,L-WAR
1,2006,Alfredo Amezaga,FLA,0.34615384615384626,0.03333333333333333,0.17674418604651163,0.2564102564102564,0.19101123595505617,0.47410358565737043,0.46694214876033063,0.27950310559006214,0.597938144329897,0.3132530120481928,0.125,0.6936416184971097,0.6018518518518517,0.4504021447721181,0.3492063492063492,0.1798561151079136,0.36206896551724144,0.6629213483146067,0.21088435374149658,0.27950310559006214
1,2007,Alfredo Amezaga,FLA,0.3846153846153846,0.0,0.20465116279069767,0.16666666666666666,0.20224719101123595,0.4701195219123505,0.2892561983471075,0.33540372670807456,0.6494845360824743,0.3132530120481928,0.16176470588235298,0.7254335260115605,0.6388888888888888,0.45576407506702427,0.33333333333333337,0.23021582733812945,0.4137931034482759,0.4719101123595505,0.2925170068027211,0.33540372670807456
2,2002,Garret Anderson,ANA,0.42307692307692313,0.09166666666666666,0.33488372093023255,0.07692307692307693,0.011235955056179775,0.5298804780876495,0.17768595041322316,0.44099378881987583,0.3814432989690721,0.012048192771084338,0.6691176470588236,0.4176300578034682,0.7962962962962963,0.28686327077748014,0.373015873015873,0.5539568345323742,0.6379310344827586,0.2247191011235955,0.6598639455782312,0.44099378881987583
2,2003,Garret Anderson,ANA,0.46153846153846145,0.08333333333333333,0.3488372093023256,0.07692307692307693,0.0,0.5976095617529881,0.13636363636363638,0.5279503105590062,0.36082474226804123,0.0,0.625,0.5144508670520231,0.6018518518518517,0.29758713136729215,0.39682539682539686,0.5467625899280575,0.5862068965517241,0.3651685393258427,0.5238095238095237,0.5279503105590062
2,2004,Garret Anderson,ANA,0.5,0.05,0.3116279069767442,0.02564102564102564,0.0,0.6334661354581675,0.23966942148760292,0.26086956521739135,0.2783505154639175,0.024096385542168676,0.49264705882352944,0.4104046242774566,0.6944444444444444,0.23324396782841844,0.38095238095238093,0.381294964028777,0.603448275862069,0.297752808988764,0.44897959183673464,0.26086956521739135
2,2005,Garret Anderson,LAA,0.5384615384615385,0.06666666666666667,0.35348837209302325,0.01282051282051282,0.0,0.5179282868525897,0.18181818181818182,0.1987577639751553,0.21649484536082475,0.0,0.44852941176470584,0.5101156069364161,0.574074074074074,0.30026809651474556,0.31746031746031744,0.3741007194244604,0.706896551724138,0.4213483146067416,0.5034013605442177,0.1987577639751553
2,2006,Garret Anderson,LAA,0.5769230769230769,0.09166666666666666,0.4046511627906977,0.01282051282051282,0.0,0.5298804780876495,0.1322314049586777,0.2173913043478261,0.25773195876288657,0.024096385542168676,0.5882352941176471,0.5043352601156068,0.6296296296296295,0.28418230563002705,0.33333333333333337,0.35251798561151076,0.5948275862068966,0.3539325842696629,0.5918367346938775,0.2173913043478261
2,2007,Garret Anderson,LAA,0.6153846153846154,0.075,0.21395348837209305,0.01282051282051282,0.0,0.5219123505976097,0.16528925619834714,0.2981366459627329,0.31958762886597936,0.03614457831325302,0.5294117647058816,0.5289017341040463,0.5833333333333333,0.2627345844504024,0.3650793650793651,0.4748201438848921,0.6293103448275862,0.4438202247191011,0.5238095238095237,0.2981366459627329
2,2008,Garret Anderson,LAA,0.6538461538461537,0.05,0.3209302325581395,0.08974358974358974,0.011235955056179775,0.553784860557769,0.28099173553719015,0.2981366459627329,0.39175257731958757,0.060240963855421686,0.5882352941176471,0.6329479768786127,0.5648148148148148,0.2895442359249329,0.3492063492063492,0.381294964028777,0.6637931034482759,0.3876404494382022,0.44217687074829926,0.2981366459627329
10,2002,David Eckstein,ANA,0.3076923076923077,0.0,0.16744186046511628,0.2692307692307692,0.3932584269662921,0.5019920318725101,0.3925619834710744,0.49068322981366463,0.6288659793814433,0.024096385542168676,0.4191176470588228,0.6156069364161849,0.7314814814814814,0.49061662198391437,0.45238095238095244,0.2949640287769784,0.4482758620689655,0.5955056179775281,0.17006802721088435,0.49068322981366463
10,2003,David Eckstein,ANA,0.34615384615384626,0.0,0.17209302325581394,0.20512820512820512,0.20224719101123595,0.3864541832669325,0.22314049586776863,0.2857142857142857,0.5257731958762887,0.012048192771084338,0.3382352941176471,0.6979768786127167,0.47222222222222215,0.5093833780160859,0.3492063492063492,0.18705035971223022,0.43103448275862066,0.4550561797752809,0.24489795918367344,0.2857142857142857
10,2004,David Eckstein,ANA,0.3846153846153846,0.008333333333333333,0.19069767441860463,0.20512820512820512,0.2584269662921348,0.4900398406374503,0.3760330578512397,0.32919254658385094,0.5154639175257731,0.03614457831325302,0.1911764705882354,0.8034682080924855,0.49999999999999994,0.47453083109919586,0.373015873015873,0.18705035971223022,0.4482758620689655,0.4662921348314606,0.22448979591836735,0.32919254658385094
10,2005,David Eckstein,STL,0.42307692307692313,0.0,0.16744186046511628,0.14102564102564102,0.23595505617977527,0.5139442231075698,0.15702479338842976,0.36645962732919257,0.48453608247422675,0.024096385542168676,0.23529411764705888,0.7760115606936415,0.38888888888888884,0.5013404825737267,0.4285714285714286,0.3021582733812949,0.31034482758620696,0.4775280898876404,0.2857142857142857,0.36645962732919257
10,2006,David Eckstein,STL,0.46153846153846145,0.0,0.15348837209302324,0.08974358974358974,0.1348314606741573,0.5498007968127491,0.33471074380165294,0.30434782608695654,0.35051546391752575,0.03614457831325302,0.19852941176470584,0.8395953757225434,0.5462962962962963,0.4718498659517428,0.38888888888888895,0.20143884892086333,0.4224137931034483,0.4719101123595505,0.1360544217687075,0.30434782608695654
